pool_size,coverage_mean,coverage_std,rel_residual
1,0.259275,0.023512,1.0000
2,0.200242,0.013450,0.7100
4,0.150807,0.011862,0.4672
8,0.117194,0.008264,0.3021
12,0.101717,0.007714,0.2261
16,0.093482,0.006855,0.1857
24,0.083240,0.006361,0.1353
32,0.077177,0.006336,0.1056
48,0.069817,0.006400,0.0694
64,0.065231,0.006260,0.0469
96,0.060023,0.006016,0.0213
128,0.056638,0.006070,0.0047
192,0.052664,0.005811,-0.0148
# noise_floor,0.055685
