pool_size,coverage_mean,coverage_std,rel_residual
1,0.153358,0.031136,1.0000
2,0.109508,0.023829,0.7141
4,0.078394,0.016044,0.5112
8,0.055335,0.011648,0.3608
12,0.045314,0.010001,0.2955
16,0.039764,0.008921,0.2593
24,0.033168,0.007886,0.2163
32,0.029177,0.007157,0.1903
48,0.024064,0.006087,0.1569
64,0.021202,0.005492,0.1383
96,0.017709,0.004930,0.1155
128,0.015589,0.004403,0.1017
192,0.013038,0.003836,0.0850
256,0.011517,0.003455,0.0751
384,0.009614,0.002981,0.0627
512,0.008506,0.002692,0.0555
768,0.007183,0.002329,0.0468
# noise_floor,-0.000000
# c1,0.153358
# n_95,657
# nfe,5
# m,1024
