pool_size,coverage_mean,coverage_std,rel_residual
1,0.001865,0.000734,1.0000
2,0.000902,0.000447,0.4836
4,0.000412,0.000203,0.2209
8,0.000156,0.000057,0.0837
12,0.000087,0.000021,0.0468
16,0.000063,0.000014,0.0340
24,0.000038,0.000011,0.0205
32,0.000027,0.000007,0.0147
48,0.000018,0.000005,0.0096
64,0.000013,0.000003,0.0071
96,0.000009,0.000002,0.0047
128,0.000006,0.000002,0.0034
192,0.000004,0.000001,0.0022
# noise_floor,0.000000
