pool_size,coverage_mean,coverage_std,rel_residual
1,0.180536,0.037648,1.0000
2,0.134854,0.030060,0.7470
4,0.095596,0.020323,0.5295
8,0.068240,0.012928,0.3780
12,0.057007,0.011785,0.3158
16,0.048498,0.009108,0.2686
24,0.040445,0.008271,0.2240
32,0.035544,0.007472,0.1969
48,0.029389,0.006234,0.1628
64,0.025750,0.005625,0.1426
96,0.021394,0.004933,0.1185
128,0.018666,0.004497,0.1034
192,0.015559,0.003912,0.0862
256,0.013694,0.003520,0.0759
384,0.011522,0.003087,0.0638
512,0.010145,0.002805,0.0562
768,0.008513,0.002429,0.0472
# noise_floor,-0.000000
# c1,0.180536
# n_95,671
# nfe,5
# m,1024
