pool_size,coverage_mean,coverage_std,rel_residual
1,0.144068,0.033887,1.0000
2,0.100742,0.024148,0.6993
4,0.073184,0.018041,0.5080
8,0.052478,0.013968,0.3643
12,0.042854,0.010959,0.2975
16,0.037313,0.009950,0.2590
24,0.030667,0.008378,0.2129
32,0.026542,0.007512,0.1842
48,0.021482,0.006482,0.1491
64,0.018450,0.005424,0.1281
96,0.015093,0.004528,0.1048
128,0.013064,0.003984,0.0907
192,0.010620,0.003289,0.0737
# noise_floor,-0.000000
# c1,0.144068
# n_95,unreached
# nfe,3
# m,256
