pool_size,coverage_mean,coverage_std,rel_residual
1,0.197907,0.035714,1.0000
2,0.149068,0.023415,0.7029
4,0.110456,0.015975,0.4680
8,0.083901,0.011130,0.3065
12,0.071032,0.009539,0.2282
16,0.063585,0.008537,0.1829
24,0.055912,0.007638,0.1362
32,0.050837,0.007280,0.1053
48,0.045458,0.006681,0.0726
64,0.042058,0.006182,0.0519
96,0.038165,0.005770,0.0282
128,0.035954,0.005736,0.0148
192,0.033068,0.005333,-0.0028
# noise_floor,0.033525
