pool_size,coverage_mean,coverage_std,rel_residual
1,0.162647,0.034008,1.0000
2,0.115967,0.023422,0.7130
4,0.086006,0.017596,0.5288
8,0.063258,0.013568,0.3889
12,0.052455,0.011454,0.3225
16,0.046225,0.010344,0.2842
24,0.038830,0.008903,0.2387
32,0.033926,0.008232,0.2086
48,0.027939,0.007113,0.1718
64,0.024572,0.006264,0.1511
96,0.020491,0.005278,0.1260
128,0.017963,0.004640,0.1104
192,0.014944,0.003962,0.0919
# noise_floor,-0.000000
# c1,0.162647
# n_95,unreached
# nfe,5
# m,256
