pool_size,coverage_mean,coverage_std,rel_residual
1,0.140280,0.055757,1.0000
2,0.086152,0.037481,0.6141
4,0.047682,0.017419,0.3399
8,0.025147,0.008405,0.1793
12,0.016586,0.005190,0.1182
16,0.012735,0.004156,0.0908
24,0.008455,0.002786,0.0603
32,0.006260,0.002081,0.0446
48,0.004378,0.001481,0.0312
64,0.003320,0.001202,0.0237
96,0.002273,0.000843,0.0162
128,0.001791,0.000674,0.0128
192,0.001215,0.000417,0.0087
# noise_floor,0.000000
