pool_size,coverage_mean,coverage_std,rel_residual
1,0.105989,0.028845,1.0000
2,0.068146,0.016012,0.6430
4,0.043125,0.011181,0.4069
8,0.026825,0.006041,0.2531
12,0.019579,0.005367,0.1847
16,0.016044,0.003871,0.1514
24,0.011749,0.002907,0.1109
32,0.009507,0.002342,0.0897
48,0.007073,0.001853,0.0667
64,0.005696,0.001457,0.0537
96,0.004266,0.001101,0.0402
128,0.003452,0.000934,0.0326
192,0.002575,0.000713,0.0243
# noise_floor,0.000000
