pool_size,coverage_mean,coverage_std,rel_residual
1,0.111417,0.034994,1.0000
2,0.071633,0.021664,0.6429
4,0.049929,0.015066,0.4481
8,0.033070,0.010046,0.2968
12,0.025871,0.008182,0.2322
16,0.022092,0.006810,0.1983
24,0.016958,0.005405,0.1522
32,0.014634,0.004604,0.1313
48,0.011033,0.003472,0.0990
64,0.008993,0.002836,0.0807
96,0.006847,0.002198,0.0615
128,0.005518,0.001837,0.0495
192,0.004320,0.001419,0.0388
# noise_floor,0.000000
