pool_size,coverage_mean,coverage_std,rel_residual
1,0.098259,0.028619,1.0000
2,0.062073,0.019294,0.6317
4,0.040261,0.011515,0.4097
8,0.024711,0.007327,0.2515
12,0.019118,0.006198,0.1946
16,0.014673,0.004140,0.1493
24,0.009399,0.002977,0.0957
32,0.007710,0.002509,0.0785
48,0.004913,0.001455,0.0500
64,0.003699,0.001210,0.0376
96,0.002531,0.000682,0.0258
128,0.001869,0.000512,0.0190
192,0.001331,0.000350,0.0135
# noise_floor,0.000000
