pool_size,coverage_mean,coverage_std,rel_residual
1,0.149878,0.038752,1.0000
2,0.109719,0.027092,0.6508
4,0.078099,0.018029,0.3758
8,0.058359,0.013598,0.2041
12,0.049758,0.011300,0.1293
16,0.045650,0.010086,0.0936
24,0.040893,0.008908,0.0522
32,0.037771,0.008449,0.0251
48,0.034324,0.007672,-0.0049
64,0.032339,0.007224,-0.0222
96,0.030180,0.006826,-0.0410
128,0.028854,0.006602,-0.0525
192,0.027211,0.006273,-0.0668
# noise_floor,0.034889
