pool_size,coverage_mean,coverage_std,rel_residual
1,0.184283,0.039689,1.0000
2,0.135384,0.033041,0.6867
4,0.099718,0.020564,0.4582
8,0.074543,0.013731,0.2969
12,0.063354,0.012216,0.2252
16,0.056817,0.010557,0.1833
24,0.049147,0.009507,0.1342
32,0.044682,0.008318,0.1056
48,0.039582,0.007778,0.0729
64,0.036535,0.007150,0.0534
96,0.033219,0.006903,0.0322
128,0.031073,0.006581,0.0184
192,0.028425,0.006094,0.0014
# noise_floor,0.028200
