pool_size,coverage_mean,coverage_std,rel_residual
1,0.129057,0.030220,1.0000
2,0.089873,0.022826,0.6964
4,0.061269,0.015313,0.4747
8,0.041427,0.011058,0.3210
12,0.032427,0.008595,0.2513
16,0.027491,0.007084,0.2130
24,0.021877,0.005834,0.1695
32,0.018418,0.004954,0.1427
48,0.014280,0.003833,0.1106
64,0.012105,0.003282,0.0938
96,0.009387,0.002453,0.0727
128,0.007920,0.002134,0.0614
192,0.006174,0.001672,0.0478
256,0.005276,0.001500,0.0409
384,0.004146,0.001180,0.0321
# noise_floor,-0.000000
# c1,0.129057
# n_95,179
# nfe,1
# m,512
