pool_size,coverage_mean,coverage_std,rel_residual
1,0.029899,0.010075,1.0000
2,0.016770,0.005723,0.5609
4,0.010764,0.003152,0.3600
8,0.006750,0.001850,0.2257
12,0.005283,0.001449,0.1767
16,0.004468,0.001258,0.1494
24,0.003451,0.000974,0.1154
32,0.002775,0.000822,0.0928
48,0.002137,0.000617,0.0715
64,0.001793,0.000499,0.0600
96,0.001364,0.000421,0.0456
128,0.001107,0.000352,0.0370
192,0.000847,0.000277,0.0283
# noise_floor,0.000000
