pool_size,coverage_mean,coverage_std,rel_residual
1,0.160956,0.031449,1.0000
2,0.116765,0.023976,0.7255
4,0.086100,0.017158,0.5349
8,0.062751,0.012869,0.3899
12,0.052262,0.011672,0.3247
16,0.045755,0.009977,0.2843
24,0.038399,0.008801,0.2386
32,0.033649,0.008107,0.2091
48,0.027890,0.006801,0.1733
64,0.024298,0.006266,0.1510
96,0.020263,0.005498,0.1259
128,0.017805,0.004893,0.1106
192,0.014923,0.004217,0.0927
256,0.013139,0.003785,0.0816
384,0.011030,0.003293,0.0685
512,0.009774,0.002977,0.0607
768,0.008280,0.002635,0.0514
# noise_floor,-0.000000
# c1,0.160956
# n_95,unreached
# nfe,5
# m,1024
