pool_size,coverage_mean,coverage_std,rel_residual
1,0.154123,0.041600,1.0000
2,0.112252,0.032659,0.6756
4,0.080371,0.020732,0.4286
8,0.059891,0.015092,0.2699
12,0.050923,0.012889,0.2004
16,0.045649,0.011519,0.1595
24,0.039837,0.009865,0.1145
32,0.036393,0.008875,0.0878
48,0.032353,0.008097,0.0565
64,0.030093,0.007624,0.0390
96,0.027526,0.007030,0.0191
128,0.025939,0.006641,0.0068
192,0.023976,0.006202,-0.0084
# noise_floor,0.025060
