pool_size,coverage_mean,coverage_std,rel_residual
1,0.152061,0.033806,1.0000
2,0.110700,0.024992,0.7280
4,0.077759,0.015390,0.5114
8,0.055224,0.012528,0.3632
12,0.045576,0.010325,0.2997
16,0.039828,0.009418,0.2619
24,0.032888,0.007727,0.2163
32,0.029075,0.007413,0.1912
48,0.024054,0.006218,0.1582
64,0.021260,0.005549,0.1398
96,0.017724,0.004927,0.1166
128,0.015625,0.004430,0.1028
192,0.013043,0.003860,0.0858
256,0.011492,0.003435,0.0756
384,0.009671,0.002967,0.0636
# noise_floor,-0.000000
# c1,0.152061
# n_95,unreached
# nfe,5
# m,512
