pool_size,coverage_mean,coverage_std,rel_residual
1,0.159468,0.037654,1.0000
2,0.102408,0.026744,0.6422
4,0.060462,0.015181,0.3791
8,0.035600,0.010155,0.2232
12,0.025986,0.007081,0.1630
16,0.020777,0.006215,0.1303
24,0.015287,0.004688,0.0959
32,0.012418,0.003791,0.0779
48,0.009300,0.002877,0.0583
64,0.007519,0.002391,0.0472
96,0.005442,0.001656,0.0341
128,0.004478,0.001513,0.0281
192,0.003296,0.001112,0.0207
# noise_floor,0.000000
