pool_size,coverage_mean,coverage_std,rel_residual
1,0.144448,0.032952,1.0000
2,0.101647,0.024074,0.7037
4,0.070947,0.018045,0.4912
8,0.050187,0.012481,0.3474
12,0.040020,0.009958,0.2771
16,0.033807,0.008566,0.2340
24,0.026839,0.006705,0.1858
32,0.022964,0.005784,0.1590
48,0.018319,0.004559,0.1268
64,0.015556,0.003882,0.1077
96,0.012526,0.003225,0.0867
128,0.010723,0.002728,0.0742
192,0.008611,0.002319,0.0596
# noise_floor,-0.000000
# c1,0.144448
# n_95,unreached
# nfe,1
