pool_size,coverage_mean,coverage_std,rel_residual
1,0.161669,0.038407,1.0000
2,0.118579,0.024483,0.7335
4,0.085327,0.017347,0.5278
8,0.062578,0.012854,0.3871
12,0.052172,0.011432,0.3227
16,0.045705,0.010164,0.2827
24,0.038198,0.008537,0.2363
32,0.033790,0.007927,0.2090
48,0.027764,0.006829,0.1717
64,0.024401,0.006257,0.1509
96,0.020255,0.005254,0.1253
128,0.017760,0.004825,0.1099
192,0.014771,0.004207,0.0914
256,0.013099,0.003859,0.0810
384,0.010928,0.003338,0.0676
# noise_floor,-0.000000
# c1,0.161669
# n_95,unreached
# nfe,5
# m,512
