pool_size,coverage_mean,coverage_std,rel_residual
1,0.180340,0.019342,1.0000
2,0.146756,0.018950,0.8138
4,0.119420,0.015550,0.6622
8,0.099112,0.013755,0.5496
12,0.088891,0.012797,0.4929
16,0.083575,0.012208,0.4634
24,0.075832,0.011606,0.4205
32,0.071253,0.010837,0.3951
48,0.065424,0.010065,0.3628
64,0.061786,0.009646,0.3426
96,0.057050,0.009152,0.3163
128,0.054075,0.008710,0.2999
192,0.050141,0.008191,0.2780
# noise_floor,0.000000
# c1,0.180340
# n_95,unreached
# nfe,n/a
# m,256
