pool_size,coverage_mean,coverage_std,rel_residual
1,0.185322,0.038852,1.0000
2,0.132637,0.026034,0.7157
4,0.094736,0.019633,0.5112
8,0.068052,0.013095,0.3672
12,0.056981,0.011249,0.3075
16,0.049145,0.009566,0.2652
24,0.040180,0.008059,0.2168
32,0.035358,0.007062,0.1908
48,0.029379,0.006299,0.1585
64,0.025701,0.005769,0.1387
96,0.021301,0.004998,0.1149
128,0.018823,0.004672,0.1016
192,0.015661,0.004016,0.0845
256,0.013700,0.003644,0.0739
384,0.011556,0.003232,0.0624
# noise_floor,0.000000
# c1,0.185322
# n_95,unreached
# nfe,5
# m,512
