pool_size,coverage_mean,coverage_std,rel_residual
1,0.145631,0.040151,1.0000
2,0.099881,0.032493,0.6859
4,0.065035,0.021093,0.4466
8,0.040153,0.012920,0.2757
12,0.031396,0.010594,0.2156
16,0.025640,0.009021,0.1761
24,0.019708,0.007172,0.1353
32,0.016359,0.005979,0.1123
48,0.012474,0.004616,0.0857
64,0.010253,0.003908,0.0704
96,0.007785,0.002992,0.0535
128,0.006349,0.002441,0.0436
192,0.004792,0.001846,0.0329
# noise_floor,0.000000
