pool_size,coverage_mean,coverage_std,rel_residual
1,0.172174,0.040535,1.0000
2,0.125920,0.032668,0.6881
4,0.091932,0.020768,0.4589
8,0.068844,0.014351,0.3033
12,0.058346,0.012552,0.2325
16,0.051887,0.010668,0.1889
24,0.045024,0.009751,0.1427
32,0.040806,0.008567,0.1142
48,0.035962,0.007965,0.0816
64,0.033135,0.007384,0.0625
96,0.030058,0.006954,0.0417
128,0.028147,0.006556,0.0289
192,0.025760,0.006050,0.0128
# noise_floor,0.023867
# c1,0.172174
# n_95,81
# nfe,4
