pool_size,coverage_mean,coverage_std,rel_residual
1,0.103228,0.022415,1.0000
2,0.072310,0.019155,0.7005
4,0.050171,0.014789,0.4860
8,0.034654,0.010745,0.3357
12,0.027882,0.008543,0.2701
16,0.023820,0.007635,0.2308
24,0.018595,0.006055,0.1801
32,0.015760,0.005212,0.1527
48,0.012251,0.004175,0.1187
64,0.010290,0.003492,0.0997
96,0.008013,0.002832,0.0776
128,0.006741,0.002414,0.0653
192,0.005245,0.001874,0.0508
256,0.004360,0.001622,0.0422
384,0.003461,0.001278,0.0335
# noise_floor,-0.000000
# c1,0.103228
# n_95,197
# nfe,1
# m,512
