pool_size,coverage_mean,coverage_std,rel_residual
1,0.152331,0.036540,1.0000
2,0.095646,0.025244,0.6279
4,0.059481,0.017214,0.3905
8,0.035064,0.011204,0.2302
12,0.024968,0.009149,0.1639
16,0.019781,0.007616,0.1299
24,0.014168,0.005411,0.0930
32,0.011148,0.004937,0.0732
48,0.008053,0.003354,0.0529
64,0.006237,0.002747,0.0409
96,0.004570,0.002051,0.0300
128,0.003615,0.001576,0.0237
192,0.002650,0.001168,0.0174
# noise_floor,0.000000
