pool_size,coverage_mean,coverage_std,rel_residual
1,0.153317,0.048520,1.0000
2,0.106525,0.033716,0.6948
4,0.068813,0.021441,0.4488
8,0.043291,0.013854,0.2824
12,0.034008,0.010874,0.2218
16,0.028015,0.009110,0.1827
24,0.021501,0.006964,0.1402
32,0.017741,0.005886,0.1157
48,0.013536,0.004672,0.0883
64,0.011157,0.003922,0.0728
96,0.008442,0.003032,0.0551
128,0.006838,0.002534,0.0446
192,0.005204,0.002007,0.0339
# noise_floor,0.000000
